7.869[-9.44]+(1/19),
7.390[-9.46]+(2/18),7.720[-7.30]+(2/19),
7.260[-9.84]+(3/17),7.859[-7.93]+(3/18),8.190[-5.77]+(3/19),
7.340[-8.92]+(4/17),7.940[-7.02]+(4/18),8.269[-4.84]+(4/19),
8.440[-9.02]+(5/17),9.040[-7.12]+(5/18),9.369[-4.94]+(5/19),
7.540[-9.62]+(6/16),8.11[-7.68]+(6/17),8.709[-5.78]+(6/18),9.040[-3.62]+(6/19),
8.380[-9.46]+(7/16),8.950[-7.53]+(7/17),9.549[-5.62]+(7/18),9.880[-3.46]+(7/19),
9.149[-9.22]+(8/16),9.720[-7.30]+(8/17),
9.679[-8.75]+(9/16),
